# week, sectorid, diam_T, e1_T, e2_T, e3_T, e4_T, cc_T, diam, e1, e2, e3, e4, cc 
60.0000,6102.0000,16.0000,6.5652,6.7107,6.6962,6.9058,0.0000,9.0000,4.8031,5.3723,4.9021,5.0284,0.6447
61.0000,6102.0000,15.0000,6.5992,6.5988,6.5410,6.6566,0.0000,9.0000,4.8605,4.9186,4.8079,4.6490,0.6584
62.0000,6102.0000,15.0000,6.9565,6.9546,6.6913,6.7050,0.0000,9.0000,4.6484,4.9322,4.9328,4.9028,0.6459
63.0000,6102.0000,17.0000,6.7839,6.7167,6.8517,6.7055,0.0000,9.0000,5.0827,5.2895,5.1002,5.1503,0.6525
64.0000,6102.0000,20.0000,6.7520,6.7589,7.7690,6.6244,0.0000,8.0000,4.9181,5.6611,4.8180,4.9072,0.6459
65.0000,6102.0000,18.0000,6.7650,6.7394,6.7085,6.8704,0.0000,10.0000,4.8631,5.3058,4.7899,5.1632,0.6351
66.0000,6102.0000,18.0000,6.6839,6.7760,6.7641,6.4197,0.0000,8.0000,4.8997,4.7883,4.8544,4.8110,0.6441
67.0000,6102.0000,15.0000,6.0561,6.5046,6.1411,5.5012,0.0000,8.0000,4.7935,4.7421,4.7767,4.6332,0.6586
68.0000,6102.0000,16.0000,6.8394,6.9394,6.9502,6.7028,0.0000,11.0000,4.7630,5.1349,4.9649,5.0567,0.6367
69.0000,6102.0000,16.0000,6.6498,6.8079,6.6935,6.3989,0.0000,9.0000,5.0028,4.9006,4.8728,4.8144,0.6423
70.0000,6102.0000,17.0000,6.9089,6.7672,6.8467,6.9003,0.0000,10.0000,4.8175,4.9498,4.8704,5.2211,0.6460
71.0000,6102.0000,16.0000,6.8362,6.6781,6.6511,6.5757,0.0000,10.0000,4.7886,4.8917,4.8670,4.9471,0.6508
72.0000,6102.0000,16.0000,6.7697,7.3441,6.7650,6.9354,0.0000,10.0000,4.7119,5.5043,5.0965,5.0326,0.6387
73.0000,6102.0000,16.0000,6.7607,6.7803,6.6872,6.7463,0.0000,9.0000,4.9379,4.8597,5.0878,4.8814,0.6382
74.0000,6102.0000,17.0000,6.8410,6.7054,6.7016,6.6352,0.0000,10.0000,5.1059,4.8007,5.2745,4.8644,0.6398
75.0000,6102.0000,17.0000,6.6175,8.1354,7.2178,6.6811,0.0000,10.0000,4.9366,4.7049,4.8712,4.9947,0.6465
76.0000,6102.0000,15.0000,6.5643,6.9745,6.6422,6.6963,0.0000,8.0000,5.1298,5.2398,5.3854,4.8746,0.6386
77.0000,6102.0000,16.0000,6.5519,8.3030,6.6682,6.8633,0.0000,9.0000,4.8792,4.8513,4.7123,4.8308,0.6422
78.0000,6102.0000,16.0000,6.8851,6.8574,6.7674,6.8613,0.0000,10.0000,4.9588,5.1568,5.2054,5.0325,0.6441
79.0000,6102.0000,20.0000,6.6982,6.7323,6.6738,6.6349,0.0000,10.0000,5.2404,5.0336,5.1454,4.8927,0.6433
80.0000,6102.0000,21.0000,6.7390,6.8330,6.9705,6.7023,0.0000,12.0000,5.3941,5.2598,5.1115,4.9483,0.6479
81.0000,6102.0000,19.0000,6.7824,6.7766,6.9133,6.8293,0.0000,9.0000,5.3288,4.9572,5.2872,4.8588,0.6453
82.0000,6102.0000,17.0000,7.4919,7.6329,6.7469,6.6920,0.0000,9.0000,4.9749,5.5308,4.8633,4.7700,0.6473
83.0000,6102.0000,15.0000,6.9372,6.7662,6.3329,6.4794,0.0000,8.0000,5.2323,5.1288,4.7241,5.0922,0.6575
84.0000,6102.0000,15.0000,5.3254,6.2355,4.9776,6.4014,0.0000,8.0000,5.2419,4.7150,4.5238,4.8247,0.6670
85.0000,6102.0000,16.0000,6.7105,6.6492,6.5025,6.5553,0.0000,9.0000,5.1107,4.8559,4.8545,4.7567,0.6607
86.0000,6102.0000,15.0000,6.8300,6.6457,6.3938,6.5331,0.0000,9.0000,5.4875,4.9252,4.7366,4.9130,0.6623
87.0000,6102.0000,16.0000,6.6273,6.7248,6.6193,6.6759,0.0000,9.0000,4.9856,5.1080,5.2994,5.1146,0.6603
88.0000,6102.0000,17.0000,6.8530,6.9990,6.4873,6.6357,0.0000,10.0000,4.8312,5.3589,4.9494,5.2987,0.6575
